Iteration 500, err: 1.386525868988374, h: 6.165593925967644e-06
Iteration 1000, err: 1.478541305470368, h: 6.465171887575517e-06
Iteration 1500, err: 0.9018457520423647, h: 7.242132142485379e-06
Iteration 2000, err: 0.9297643945422455, h: 7.4607857219181015e-06
Iteration 2500, err: 0.9994433255595654, h: 8.0139758222722e-06
Iteration 3000, err: 1.0362270109118028, h: 4.93754438510734e-06
Iteration 3500, err: 1.1289170309907568, h: 5.261332455701731e-06
Iteration 4000, err: 1.1550280865515257, h: 5.348396570213241e-06
Iteration 4500, err: 1.2193589827322764, h: 5.566195655781175e-06
Iteration 5000, err: 1.3865256137581037, h: 6.1247290316962255e-06
Iteration 5500, err: 1.478540999638287, h: 6.422406146950974e-06
Iteration 6000, err: 0.9018456989316962, h: 7.194321448956116e-06
Iteration 6500, err: 0.9297643322292725, h: 7.411628750806918e-06
Iteration 7000, err: 0.9994432412328085, h: 7.961278039425314e-06
Iteration 7500, err: 1.0362269129638686, h: 4.905140461355547e-06
Iteration 8000, err: 1.1289168994176606, h: 5.226871470271913e-06
Iteration 8500, err: 1.1550279434633026, h: 5.3134342077520474e-06
Iteration 9000, err: 1.219358810828061, h: 5.529880972086339e-06
Iteration 9500, err: 1.3865253654580625, h: 6.084848647434149e-06
Iteration 10000, err: 1.4785407023086192, h: 6.380669384658614e-06
Iteration 10500, err: 0.9018456471352331, h: 7.147659643962042e-06
Iteration 11000, err: 0.9297642716757925, h: 7.363651505245905e-06
Iteration 11500, err: 0.999443159339659, h: 7.909843342306266e-06
Iteration 12000, err: 1.0362268180129002, h: 4.873512215985067e-06
Iteration 12500, err: 1.1289167714048896, h: 5.19323435532293e-06
Iteration 13000, err: 1.1550278040638655, h: 5.279306639407725e-06
Iteration 13500, err: 1.2193586435120345, h: 5.494432271998639e-06
Iteration 14000, err: 1.3865251236971812, h: 6.045918075028674e-06
Iteration 14500, err: 1.4785404126949173, h: 6.339925392215623e-06
Iteration 15000, err: 0.9018455967792718, h: 7.102106361144093e-06
Iteration 15500, err: 0.9297642127121944, h: 7.3168125985838015e-06
Iteration 16000, err: 0.9994430795542805, h: 7.859627488109714e-06
Iteration 16500, err: 1.0362267251817898, h: 4.842632522950889e-06
Iteration 17000, err: 1.1289166466257932, h: 5.160392342385193e-06
Iteration 17500, err: 1.1550276680818414, h: 5.24598475965194e-06
Iteration 18000, err: 1.2193584805560487, h: 5.459819409087157e-06
Iteration 18500, err: 1.3865248882058527, h: 6.007904300249028e-06
Iteration 19000, err: 1.4785401308099433, h: 6.300139714155389e-06
Iteration 19500, err: 0.9018455476056529, h: 7.057623187899456e-06
Iteration 20000, err: 0.9297641551294703, h: 7.271072644334753e-06
Iteration 20500, err: 0.999443001841511, h: 7.810588369186434e-06
Iteration 21000, err: 1.0362266349471028, h: 4.812475559527301e-06
Iteration 21500, err: 1.12891652517098, h: 5.128318045551517e-06
Iteration 22000, err: 1.1550275358349558, h: 5.213440860631697e-06
Iteration 22500, err: 1.2193583219313215, h: 5.426013682054153e-06
Iteration 23000, err: 1.3865246588415439, h: 5.970775889049408e-06
Iteration 23500, err: 1.4785398560319374, h: 6.261279542735619e-06
Iteration 24000, err: 0.9018454998746507, h: 7.014173542837529e-06
Iteration 24500, err: 0.9297640992264227, h: 7.226394133994493e-06
Iteration 25000, err: 0.9994429261012174, h: 7.762685880680011e-06
Iteration 25500, err: 1.0362265469852041, h: 4.783016732181909e-06
Iteration 26000, err: 1.1289164068307804, h: 5.096985379206064e-06
Iteration 26500, err: 1.155027406968815, h: 5.181648547145886e-06
Iteration 27000, err: 1.2193581672678981, h: 5.392987747205236e-06
Iteration 27500, err: 1.3865244354118835, h: 5.934502892493976e-06
Iteration 28000, err: 1.4785395883720536, h: 6.22331361760285e-06
Iteration 28500, err: 0.9018454534646261, h: 6.971722570298283e-06
Iteration 29000, err: 0.9297640447257622, h: 7.1827413205268204e-06
Iteration 29500, err: 0.9994428523517918, h: 7.715881803071927e-06
Iteration 30000, err: 1.0362264612544043, h: 4.7542325995775625e-06
Iteration 30500, err: 1.128916291456932, h: 5.066369478401961e-06
Iteration 31000, err: 1.1550272813601048, h: 5.150582657809972e-06
Iteration 31500, err: 1.2193580163993378, h: 5.3607155375246566e-06
Iteration 32000, err: 1.3865242176762969, h: 5.899056758125464e-06
Iteration 32500, err: 1.4785393273905618, h: 6.1862121341510695e-06
Iteration 33000, err: 0.9018454078650414, h: 6.930237032258069e-06
Iteration 33500, err: 0.9297639914976348, h: 7.140080119184572e-06
Iteration 34000, err: 0.9994427801833898, h: 7.670139686201966e-06
Iteration 34500, err: 1.0362263778196446, h: 4.7261008059856065e-06
Iteration 35000, err: 1.1289161789663054, h: 5.036446628026161e-06
Iteration 35500, err: 1.155027158756045, h: 5.120219193206788e-06
Iteration 36000, err: 1.2193578691856841, h: 5.329172188112191e-06
Iteration 36500, err: 1.386524004979161, h: 5.864410246535595e-06
Iteration 37000, err: 1.4785390727427081, h: 6.149946656204321e-06
Iteration 37500, err: 0.9018453634607035, h: 6.889685217505497e-06
Iteration 38000, err: 0.9297639395649063, h: 7.098378005250844e-06
Iteration 38500, err: 0.9994427100427328, h: 7.625424749713443e-06
Iteration 39000, err: 1.0362262961179483, h: 4.698600017056595e-06
Iteration 39500, err: 1.1289160691597613, h: 5.007194195260871e-06
Iteration 40000, err: 1.155027039143598, h: 5.0905352469587455e-06
Iteration 40500, err: 1.2193577258865247, h: 5.2983339641545426e-06
Iteration 41000, err: 1.3865237977240863, h: 5.8305373576520555e-06
Iteration 41500, err: 1.4785388243690494, h: 6.114490039582964e-06
Iteration 42000, err: 0.9018453202568742, h: 6.85003685225475e-06
Iteration 42500, err: 0.9297638889230995, h: 7.057603926438599e-06
Iteration 43000, err: 0.9994426413997474, h: 7.5817037841099465e-06
Iteration 43500, err: 1.0362262166164862, h: 4.671709861606865e-06
Iteration 44000, err: 1.128915962278856, h: 4.9785905664776266e-06
Iteration 44500, err: 1.155026922571517, h: 5.061508943840541e-06
Iteration 45000, err: 1.219357585685664, h: 5.268178198900382e-06
Iteration 45500, err: 1.3865235955413, h: 5.7974132566939635e-06
Iteration 46000, err: 1.4785385821328574, h: 6.079816355923733e-06
Iteration 46500, err: 0.901845278244655, h: 6.811263017154296e-06
Iteration 47000, err: 0.929763839541608, h: 7.017728218923711e-06
Iteration 47500, err: 0.9994425745905858, h: 7.538945061815069e-06
Iteration 48000, err: 1.0362261389738738, h: 4.645410875538208e-06
Iteration 48500, err: 1.1289158577124583, h: 4.95061509070086e-06
Iteration 49000, err: 1.155026808967416, h: 5.033119380642471e-06
Iteration 49500, err: 1.2193574490961931, h: 5.238683230812176e-06
Iteration 50000, err: 1.3865233978331766, h: 5.7650142107043294e-06
Iteration 50500, err: 1.4785383456344627, h: 6.045900824040997e-06
Iteration 51000, err: 0.9018452370285014, h: 6.773336070081394e-06
Iteration 51500, err: 0.9297637913649692, h: 6.978722527270998e-06
Iteration 52000, err: 0.9994425093419753, h: 7.497118254748899e-06
Iteration 52500, err: 1.036226063147405, h: 4.619684451944459e-06
Iteration 53000, err: 1.1289157554785205, h: 4.923248025138845e-06
Iteration 53500, err: 1.1550266975749128, h: 5.005346571927945e-06
Iteration 54000, err: 1.2193573157426354, h: 5.209828348085197e-06
Iteration 54500, err: 1.3865232050853766, h: 5.733317525511264e-06
Iteration 55000, err: 1.4785381143958636, h: 6.012719747037166e-06
Iteration 55500, err: 0.901845196758306, h: 6.736229577213774e-06
Iteration 56000, err: 0.9297637439381827, h: 6.940559731989079e-06
Iteration 56500, err: 0.999442445511306, h: 7.456194354022181e-06
Iteration 57000, err: 1.0362259890256376, h: 4.594512793186004e-06
Iteration 57500, err: 1.12891565586422, h: 4.896470482326511e-06
Iteration 58000, err: 1.155026589011772, h: 4.978171399210891e-06
Iteration 58500, err: 1.2193571852850411, h: 5.1815937361140596e-06
Iteration 59000, err: 1.3865230168208034, h: 5.702301488068595e-06
Iteration 59500, err: 1.4785378886164118, h: 5.980250450445025e-06
Iteration 60000, err: 0.9018451573889835, h: 6.699918244085547e-06
Iteration 60500, err: 0.9297636979098887, h: 6.903213883455766e-06
Iteration 61000, err: 0.999442383280626, h: 7.416145599559156e-06
Iteration 61500, err: 1.0362259166179573, h: 4.569878866074802e-06
Iteration 62000, err: 1.128915558489017, h: 4.87026438756906e-06
Iteration 62500, err: 1.1550264828444496, h: 4.951575562559389e-06
Iteration 63000, err: 1.2193570578008741, h: 5.153960427932952e-06
Iteration 63500, err: 1.3865228325271859, h: 5.671945313677662e-06
Iteration 64000, err: 1.4785376680544982, h: 5.948471228696308e-06
Iteration 64500, err: 0.9018451190568535, h: 6.664377854173612e-06
Iteration 65000, err: 0.929763653162842, h: 6.866660135898244e-06
Iteration 65500, err: 0.9994423224069766, h: 7.376945411914454e-06
Iteration 66000, err: 1.0362258460593405, h: 4.545766360191127e-06
Iteration 66500, err: 1.1289154634312066, h: 4.8446124314992565e-06
Iteration 67000, err: 1.1550263792765638, h: 4.925541537525324e-06
Iteration 67500, err: 1.2193569334166778, h: 5.126910258767589e-06
Iteration 68000, err: 1.3865226528004138, h: 5.642229095423995e-06
Iteration 68500, err: 1.478537452591326, h: 5.91736129091354e-06
Iteration 69000, err: 0.901845081704718, h: 6.6295852131936475e-06
Iteration 69500, err: 0.9297636091792532, h: 6.830874687561086e-06
Iteration 70000, err: 0.9994422629771039, h: 7.338568327370028e-06
Iteration 70500, err: 1.0362257768524237, h: 4.5221596508711425e-06
Iteration 71000, err: 1.1289153702866472, h: 4.819498030365732e-06
Iteration 71500, err: 1.1550262778294906, h: 4.900052533486048e-06
Iteration 72000, err: 1.2193568115476414, h: 5.100425823650407e-06
Iteration 72500, err: 1.38652247688846, h: 5.613133757050571e-06
Iteration 73000, err: 1.4785372418543306, h: 5.886900713843743e-06
